ECG,Filtered ECG,R peaks,Heart rate
357.948,,,
339.648,,,
350.262,,,
378.078,,,
385.764,,,
367.098,,,
374.418,,,
376.98,,,
389.424,,,
409.91998,,,
401.50198,,,
409.91998,,,
376.248,,,
382.836,,,
370.026,,,
384.3,,,
379.176,,,
362.706,,,
342.942,,,
332.694,,,
327.936,,,
340.014,,,
316.224,,,
312.93,,,
311.1,,,
302.316,,,
278.526,,,
293.166,,,
269.01,,,
274.134,,,
268.644,,,
270.84,,,
292.8,,,
275.232,,,
288.042,,,
312.564,,,
314.02798,,,
287.31,,,
312.93,,,
302.316,,,
317.688,,,
319.152,,,
317.688,,,
310.368,,,
310.00198,,,
308.904,,,
325.374,,,
317.322,,,
330.86398,,,
331.596,,,
315.858,,,
310.734,,,
326.83798,,,
335.988,-3.9702055,,
321.714,22.414125,,
341.844,36.80165,,
325.74,34.172836,,
342.21,20.397055,,
326.106,5.6095915,,
330.86398,-3.7337952,,
319.518,-7.7840114,,
341.844,-10.199746,,
314.02798,-13.164938,,
321.714,-15.329156,,
343.30798,-13.86977,,
327.936,-7.893485,,
334.88998,0.3393749,,
325.74,7.230169,,
329.766,10.517262,,
340.38,10.168763,,
344.772,7.09691,,
325.008,1.6943521,,
319.884,-5.797444,,
325.74,-13.425633,,
343.674,-16.692259,,
311.832,-10.815579,,
347.69998,4.8522396,,
325.374,23.989822,,
345.87,35.468876,,
337.452,30.206207,,
339.28198,8.167211,,
323.544,-20.036049,,
329.4,-39.009575,,
317.322,-38.37681,,
319.518,-19.676981,,
346.602,4.7182097,,
322.812,20.059248,,
339.28198,19.059444,,
329.4,6.159676,,
323.544,-6.590431,,
329.4,-8.719685,,
324.642,1.2316378,,
341.478,15.250695,,
321.714,22.262743,,
349.896,16.365198,,
319.518,0.8502037,,
338.184,-14.578867,,
326.106,-20.927961,,
322.812,-15.995223,,
338.916,-5.210211,,
334.88998,2.9179149,,
327.57,3.0895302,,
341.844,-3.298083,,
312.564,-9.648073,,
328.302,-9.205603,,
344.406,0.066850536,,
323.91,14.031222,,
325.008,25.028688,,
333.792,26.628622,,
340.38,17.345247,,
334.524,1.1834072,,
311.1,-14.94061,,
334.524,-24.98801,,
316.956,-26.43825,,
341.844,-20.50252,,
329.766,-10.367737,,
329.766,0.8861614,,
347.33398,11.186638,,
339.648,18.944448,,
341.478,22.225586,,
340.746,19.04044,,
345.504,9.052143,,
323.91,-4.670302,,
331.962,-15.9284,,
320.982,-18.553366,,
342.942,-10.81117,,
318.41998,2.3264241,,
337.452,11.584842,,
325.374,9.666564,,
337.086,-2.852348,,
323.178,-16.844635,,
323.544,-20.606981,,
335.256,-8.716271,,
327.936,12.903768,,
344.406,30.184013,,
346.236,30.721972,,
325.008,13.097382,,
344.772,-11.597235,,
320.25,-27.588198,,
320.25,-25.839169,,
345.504,-10.2389145,,
319.152,6.2519946,,
342.942,12.261658,,
336.354,6.709502,,
316.956,-1.5312996,,
339.28198,-2.4460323,,
338.55,5.6363397,,
318.054,14.293614,,
344.04,12.706025,,
323.544,-1.8544087,,
334.88998,-20.14739,,
315.126,-27.654402,,
319.884,-16.626266,,
339.648,6.697121,,
341.478,26.176085,,
327.936,28.204748,,
319.884,12.350097,,
339.648,-8.6138315,,
320.616,-19.259315,,
326.472,-13.784721,,
318.786,0.14935021,,
329.4,8.887947,,
327.57,4.8166184,,
328.302,-7.4159045,,
332.328,-15.550661,,
319.152,-10.816454,,
323.178,4.3382263,,
334.524,18.430746,,
338.55,20.798248,,
343.674,10.357583,,
322.08,-4.1422305,,
322.812,-12.074908,,
320.25,-9.739002,,
335.988,-2.3939965,,
341.478,1.6479931,,
322.812,-1.0315619,,
323.544,-6.2797527,,
319.152,-7.0298457,,
336.72,-0.5410201,,
332.328,8.677933,,
340.746,12.887359,,
323.91,8.192308,,
315.126,-1.9082137,,
346.968,-9.638388,,
326.106,-9.681365,,
319.884,-3.341643,,
341.844,3.3945508,,
327.936,5.661808,,
329.4,3.7452893,,
327.57,1.7393812,,
337.818,2.5754528,,
320.25,4.6190696,,
335.622,3.3502316,,
329.034,-3.4905567,,
315.858,-12.48913,,
328.668,-16.603954,,
327.936,-11.200824,,
319.518,1.3943009,,
342.942,13.221644,,
340.38,17.007305,,
322.44598,11.953442,,
330.132,3.8370426,,
338.184,-0.6162277,,
340.014,0.11294197,,
339.28198,1.348485,,
318.054,-2.6692078,,
325.374,-12.336881,,
348.432,-21.069553,,
317.688,-20.394894,,
329.034,-7.5074077,,
341.844,11.409464,,
330.86398,25.25109,,
327.57,26.20175,,
345.504,15.257486,,
331.962,0.6341139,,
330.86398,-9.181354,,
315.858,-11.548325,,
327.57,-9.959601,,
335.622,-9.0339155,,
340.014,-9.4734125,,
317.688,-7.870056,,
344.772,-1.2776738,,
325.008,8.314255,,
344.772,14.485446,,
339.28198,11.9207945,,
339.648,1.9043071,,
339.28198,-7.759256,,
320.25,-9.017784,,
337.452,-0.7724407,,
346.236,9.604697,,
342.576,12.2965145,,
332.694,3.6845663,,
336.354,-9.999729,,
321.714,-17.55274,,
341.844,-12.296587,,
339.28198,1.9628711,,
343.30798,13.832251,,
335.256,13.788496,,
320.616,2.161868,,
341.112,-11.193822,,
343.674,-15.2343645,,
320.25,-6.8870745,,
328.668,6.7376533,,
325.008,14.746962,,
341.112,11.72068,,
337.452,1.8115145,,
318.054,-5.5783663,,
323.178,-4.4034543,,
327.936,2.8231542,,
324.642,7.6490903,,
347.33398,3.5546525,,
324.276,-7.9698343,,
323.91,-18.380735,,
317.322,-19.075891,,
346.602,-8.365413,,
333.792,7.2821083,,
344.04,18.32354,,
343.674,19.022684,,
327.57,10.717722,,
336.354,-0.3316606,,
340.746,-7.856097,,
335.256,-9.115171,,
321.348,-5.120976,,
335.988,1.2214392,,
326.472,6.7373295,,
338.55,8.542959,,
322.44598,4.5790267,,
341.112,-4.929544,,
319.152,-16.029774,,
315.492,-21.853012,,
330.498,-16.599749,,
339.648,-0.43480262,,
347.33398,18.886936,,
328.302,30.068945,,
339.28198,25.859232,,
345.504,8.573364,,
341.112,-11.067767,,
340.014,-21.348497,,
326.83798,-17.71581,,
322.812,-5.444995,,
348.432,5.0859113,,
346.236,6.5681057,,
337.452,-0.08873078,,
324.276,-7.3605347,,
334.158,-7.6791883,,
318.054,0.5053994,,
345.138,11.735689,,
348.432,17.87663,,
326.472,14.049438,,
320.982,1.8111633,,
326.83798,-12.178769,,
325.008,-20.45489,,
333.426,-18.930256,,
335.256,-8.691384,,
324.642,5.024182,,
322.08,15.678575,,
345.87,18.630424,,
345.138,13.281427,,
325.008,3.1643546,,
329.4,-6.20119,,
343.30798,-10.585725,,
324.642,-9.391914,,
319.152,-5.382499,,
347.69998,-2.0058558,,
339.28198,-0.552573,,
336.354,0.37068325,,
320.982,2.617673,,
345.504,5.7695656,,
330.132,6.840937,,
337.818,3.1495094,,
336.354,-4.2041874,,
327.936,-9.929361,,
330.86398,-8.412787,,
323.91,1.042185,,
335.988,12.393101,,
344.406,16.770075,,
321.714,9.464268,,
341.112,-5.732846,,
325.008,-18.744602,,
313.662,-20.512913,,
341.112,-9.635192,,
333.06,6.8521833,,
343.30798,18.832512,,
343.30798,20.019491,,
333.426,11.140342,,
330.86398,-2.1576712,,
337.818,-13.789693,,
